outcome,zero_definition,kind,pre_end,post_start,post_end,post_months,post_cells_after_policy,n_positive,n_zero,estimate,se_welch,df_welch,ci95_welch_low,ci95_welch_high,p_two_sided_welch,p_weight_increase_welch,p_fetal_decrease_welch,variance_share_controls,ols_slope,change_positive,change_zero,p_two_sided_welch_holm_family3
peso_medio,4,original_includes_2019_2022,2017-01,2017-11,2022-12,62,8784,169,14,-12.848628092979027,19.05492950142823,13.863438299410817,-53.75518787212401,28.057931686165958,0.5112122349151483,0.7443938825424259,0.25560611745757417,0.968318463134308,13.168110575140105,-7.535769590515389,5.312858502463639,1.0
peso_medio,4,corrected_pre_only,2017-01,2017-11,2018-12,14,0,169,14,21.546278832785994,23.0787750658173,13.81949928153801,-28.013493856681777,71.10605152225376,0.3665379620307672,0.1832689810153836,0.8167310189846164,0.9698605533755357,19.66033583933176,9.77181653508078,-11.774462297705213,0.7330759240615344
taxa_obito_fetal,1,original_includes_2019_2022,2016-01,2016-11,2022-12,74,8832,169,15,0.0016337175930220488,0.00284435664463593,15.493139912571634,-0.004412121158482088,0.007679556344526186,0.5739620251655982,0.2869810125827991,0.7130189874172008,0.9504848374386239,0.0008579831591939345,-0.002125837508215572,-0.0037595551012376206,1.0
taxa_obito_fetal,1,corrected_pre_only,2016-01,2016-11,2018-12,26,0,169,15,0.0002202015347789305,0.002898046317590064,16.001157847092205,-0.0059233460816092275,0.006363749151167088,0.9403747326678252,0.4701873663339126,0.5298126336660873,0.9351933989953602,0.003305063223228622,-0.0020942133259276153,-0.002314414860706546,1.0
taxa_obito_fetal,1,original_includes_2019_2022,2016-07,2017-05,2022-12,68,8832,169,15,-5.657729851836946e-05,0.002180650085174562,16.292828836930077,-0.004672605655433872,0.0045594510583971334,0.9796162141105675,0.5101918929447162,0.48980810705528377,0.9267288456409656,0.0007358586205337396,-0.001827951885650364,-0.0017713745871319945,1.0
taxa_obito_fetal,1,corrected_pre_only,2016-07,2017-05,2018-12,20,0,169,15,-0.00157382663847553,0.0023042807736208533,17.504664609084976,-0.006424779023883474,0.003277125746932414,0.5035462388331263,0.7482268805834369,0.25177311941656316,0.8937822064569396,0.003685918894326635,-0.0020755114655594932,-0.0005016848270839632,1.0
taxa_obito_fetal,1,original_includes_2019_2022,2017-01,2017-11,2022-12,62,8832,169,15,0.0005795532215491866,0.0017025285248128334,17.245588728339108,-0.003008575305574085,0.004167681748672459,0.7376611516164931,0.3688305758082466,0.6311694241917534,0.9005428873003853,0.00020880595277702335,-0.0014874581724262995,-0.002067011393975486,1.0
taxa_obito_fetal,1,corrected_pre_only,2017-01,2017-11,2018-12,14,0,169,15,0.0002957730715914596,0.0018472932278899511,20.774890424828342,-0.0035484197326896456,0.004139965875872565,0.8743397336587059,0.43716986682935294,0.5628301331706471,0.8192483388494965,0.0018439490754645256,-0.0012119033200725547,-0.0015076763916640143,1.0
taxa_obito_fetal,4,original_includes_2019_2022,2016-01,2016-11,2022-12,74,8784,169,14,0.0017029274649251,0.0030443191645571095,14.198887342736104,-0.004817917808143297,0.008223772737993497,0.584619520507948,0.292309760253974,0.7076902397460261,0.9567759012832485,0.0008505275333325242,-0.002125837508215572,-0.003828764973140672,1.0
taxa_obito_fetal,4,corrected_pre_only,2016-01,2016-11,2018-12,26,0,169,14,0.0002924143165752204,0.0030985516190337125,14.605412668569098,-0.006327566687467972,0.006912395320618413,0.9260967167881962,0.4630483583940981,0.5369516416059019,0.9433092219439893,0.0033195414521543123,-0.0020942133259276153,-0.0023866276425028358,1.0
