tempo_evento,estimativa,erro_padrao,valor_critico,ic_inf,ic_sup,meia_largura,pre,desfecho,exposicao,fonte
-30,0.0069864083096629,0.00684313432886787,2.77502955219402,-0.0120034916825789,0.0259763083019047,0.0189898999922418,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-29,-0.00297176646482372,0.00605921475812616,2.77502955219402,-0.019786266481714,0.0138427335520665,0.0168145000168903,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-28,-0.00155170959668905,0.00741058267652964,2.77502955219402,-0.0221162955230359,0.0190128763296578,0.0205645859263468,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-27,-0.00134565290889957,0.00358800175010225,2.77502955219402,-0.0113024637987572,0.00861115798095805,0.00995681088985762,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-26,-0.0034430604284464,0.00716221068873131,2.77502955219402,-0.0233184067487157,0.0164322858918229,0.0198753463202693,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-25,0.000566622396574058,0.0059986046534072,2.77502955219402,-0.0160796827885595,0.0172129275817076,0.0166463051851336,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-24,0.00350228915569243,0.00642340722506901,2.77502955219402,-0.0143228557196507,0.0213274340310356,0.0178251448753431,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-23,0.00249548039354914,0.00887439916934939,2.77502955219402,-0.0221312395593615,0.0271222003464598,0.0246267199529107,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-22,-0.00116166682453467,0.00925532868696102,2.77502955219402,-0.0268454774461206,0.0245221437970513,0.0256838106215859,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-21,0.00336887959441146,0.0092365856998863,2.77502955219402,-0.0222629186841457,0.0290006778729687,0.0256317982785572,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-20,-0.00220567070132047,0.00683995430702795,2.77502955219402,-0.0211867460389798,0.0167754046363389,0.0189810753376594,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-19,-0.00340186185859485,0.00620783423633532,2.77502955219402,-0.0206287853195472,0.0138250616023575,0.0172269234609523,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-18,0.00412132231186566,0.00650596141750996,2.77502955219402,-0.0139329128871586,0.0221755575108899,0.0180542351990243,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-17,0.00442740330334538,0.00876040963897036,2.77502955219402,-0.0198829923341228,0.0287377989408135,0.0243103956374681,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-16,-0.00751740215672264,0.00795676627517593,2.77502955219402,-0.0295976637102366,0.0145628593967913,0.022080261553514,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-15,0.00338518626388622,0.00536496896306453,2.77502955219402,-0.0115027611552216,0.018273133682994,0.0148879474191078,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-14,0.0145753987085696,0.0114683770828427,2.77502955219402,-0.0172496866120237,0.0464004840291629,0.0318250853205933,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
-13,-0.0132328632616922,0.00772442957484067,2.77502955219402,-0.0346683836057166,0.00820265708233216,0.0214355203440244,TRUE,taxa_obito_fetal,share_gestacao_pos_ban,real
